Height	theta	q	u	v
1593.457	299.861	8.894	0.0	27.142
1598.586	299.891	8.873	0.0	27.142
1603.729	299.921	8.852	0.0	27.142
1608.9	299.951	8.832	0.0	27.142
1614.071	299.981	8.812	0.0	27.142
1619.257	300.011	8.792	0.0	27.142
1624.443	300.041	8.774	0.0	27.142
1629.657	300.072	8.759	0.0	27.142
1634.9	300.102	8.745	0.0	27.142
1640.157	300.133	8.732	0.0	27.142
1645.443	300.163	8.72	0.0	27.142
1650.743	300.194	8.709	0.0	27.142
1656.057	300.225	8.699	0.0	27.142
1666.657	300.287	8.68	0.0	27.142
1671.971	300.318	8.669	0.0	27.142
1677.314	300.349	8.658	0.0	27.142
1682.671	300.38	8.647	0.0	27.142
1688.043	300.411	8.635	0.0	27.142
1693.414	300.442	8.623	0.0	27.142
1698.8	300.474	8.611	0.0	27.142
1704.186	300.505	8.6	0.0	27.142
1709.586	300.536	8.588	0.0	27.142
1715.014	300.568	8.577	0.0	27.142
1720.457	300.6	8.565	0.0	27.142
1725.914	300.631	8.554	0.0	27.142
1731.357	300.663	8.541	0.0	27.142
1736.814	300.695	8.529	0.0	27.142
1747.729	300.759	8.509	0.0	27.142
1753.186	300.79	8.499	0.0	27.142
1758.643	300.822	8.49	0.0	27.142
1764.086	300.854	8.478	0.0	27.142
1769.543	300.886	8.468	0.0	27.142
1775.0	300.917	8.458	0.0	27.142
1780.443	300.949	8.448	0.0	27.142
1785.9	300.981	8.437	0.0	27.142
1791.357	301.013	8.427	0.0	27.142
1796.829	301.045	8.416	0.0	27.142
1802.314	301.077	8.406	0.0	27.142
1807.829	301.109	8.395	0.0	27.142
1813.357	301.141	8.384	0.0	27.142
1818.9	301.173	8.373	0.0	27.142
1830.014	301.238	8.35	0.0	27.142
1835.557	301.271	8.339	0.0	27.142
1841.114	301.303	8.328	0.0	27.142
1846.671	301.335	8.317	0.0	27.142
1852.243	301.368	8.306	0.0	27.142
1857.8	301.4	8.298	0.0	27.142
1863.357	301.433	8.289	0.0	27.142
1868.914	301.465	8.279	0.0	27.142
1874.457	301.498	8.27	0.0	27.142
1880.0	301.53	8.259	0.0	27.142
1885.543	301.562	8.249	0.0	27.142
1891.071	301.595	8.238	0.0	27.142
1896.614	301.627	8.228	0.0	27.142
1902.171	301.66	8.218	0.0	27.142
1913.286	301.724	8.196	0.0	27.142
1918.843	301.757	8.186	0.0	27.142
1924.4	301.789	8.174	0.0	27.142
1929.957	301.822	8.159	0.0	27.142
1935.529	301.854	8.144	0.0	27.142
1941.1	301.887	8.13	0.0	27.142
1946.657	301.92	8.116	0.0	27.142
1952.2	301.952	8.102	0.0	27.142
1957.729	301.984	8.089	0.0	27.142
1963.257	302.017	8.077	0.0	27.142
1968.771	302.049	8.064	0.0	27.142
1974.3	302.081	8.052	0.0	27.142
1979.814	302.113	8.041	0.0	27.142
1985.314	302.146	8.028	0.0	27.142
1996.243	302.21	8.004	0.0	27.142
2001.686	302.223	7.992	0.0	27.142
2007.114	302.236	7.979	0.0	27.142
2012.529	302.25	7.966	0.0	27.142
2017.929	302.263	7.953	0.0	27.142
2023.314	302.276	7.94	0.0	27.142
2028.686	302.29	7.927	0.0	27.142
2034.043	302.303	7.915	0.0	27.142
2039.386	302.316	7.903	0.0	27.142
2044.743	302.329	7.891	0.0	27.142
2050.086	302.342	7.878	0.0	27.142
2055.429	302.356	7.866	0.0	27.142
2060.757	302.369	7.854	0.0	27.142
2066.057	302.382	7.843	0.0	27.142
2076.629	302.408	7.819	0.0	27.142
2081.914	302.421	7.805	0.0	27.142
2087.2	302.434	7.789	0.0	27.142
2092.5	302.447	7.774	0.0	27.142
2097.786	302.46	7.758	0.0	27.142
2103.057	302.473	7.744	0.0	27.142
2108.329	302.486	7.728	0.0	27.142
2113.6	302.499	7.715	0.0	27.142
2118.857	302.512	7.702	0.0	27.142
2124.1	302.525	7.687	0.0	27.142
2129.329	302.538	7.671	0.0	27.142
2134.543	302.551	7.656	0.0	27.142
2139.743	302.563	7.64	0.0	27.142
2144.943	302.576	7.625	0.0	27.142
2155.3	302.602	7.592	0.0	27.142
2160.486	302.615	7.577	0.0	27.142
2165.657	302.627	7.56	0.0	27.142
2170.829	302.64	7.544	0.0	27.142
2176.014	302.653	7.528	0.0	27.142
2181.186	302.666	7.513	0.0	27.142
2186.343	302.678	7.497	0.0	27.142
2191.5	302.691	7.481	0.0	27.142
2196.643	302.704	7.466	0.0	27.142
2201.771	302.717	7.45	0.0	27.142
2206.9	302.729	7.435	0.0	27.142
2212.043	302.742	7.418	0.0	27.142
2217.186	302.755	7.402	0.0	27.142
2222.329	302.767	7.386	0.0	27.142
2232.614	302.793	7.352	0.0	27.142
2237.757	302.805	7.334	0.0	27.142
2242.9	302.818	7.316	0.0	27.142
2248.057	302.831	7.3	0.0	27.142
2253.229	302.844	7.284	0.0	27.142
2258.4	302.856	7.267	0.0	27.142
2263.571	302.869	7.251	0.0	27.142
2268.729	302.882	7.235	0.0	27.142
2273.871	302.895	7.219	0.0	27.142
2279.029	302.907	7.204	0.0	27.142
2284.171	302.92	7.189	0.0	27.142
